,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
809,6.04,202,1261,2,1,16,34,36,113,Orangeburg Calhoun Technical College,Orangeburg,SC,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,4730.0,7490.0,0.5,2-year,883794.0,1586.0,5431.0,13982.0,False
810,3.53,87,579,0,0,18,16,40,13,Spartanburg Community College,Spartanburg,SC,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4902.0,9822.0,0.4867,2-year,6130537.0,3177.0,3177.0,12749.0,False
811,8.16,272,1186,30,6,80,50,101,5,Voorhees College,Denmark,SC,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,,Not online only,12630.0,12630.0,0.5926,4-year,8061881.0,368.0,16076.0,26306.0,False
812,2.52,109,499,0,12,6,6,46,39,York Technical College,Rock Hill,SC,Predominantly certificate-degree granting,Associate degree,Public,,Not online only,5035.0,10339.0,0.5,2-year,6302324.0,3539.0,7031.0,14680.0,False
813,3.95,155,1071,0,26,7,30,64,28,Dakota State University,Madison,SD,Predominantly bachelor's-degree granting,Graduate degree,Public,0.8357,Not online only,9536.0,12606.0,0.7762,4-year,15810803.0,2031.0,18630.0,22365.0,False
814,4.02,215,895,1,12,14,40,53,95,University of South Dakota,Vermillion,SD,Predominantly bachelor's-degree granting,Graduate degree,Public,0.9095,Not online only,9332.0,12807.0,0.7071,4-year,231416534.0,5684.0,19389.0,23016.0,False
815,5.02,798,2180,1,31,130,44,190,402,Bryan College-Dayton,Dayton,TN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,,Not online only,17050.0,17050.0,0.2583,4-year,6980955.0,787.0,15662.0,38061.0,False
816,6.63,131,630,6,4,16,36,26,43,Tennessee College of Applied Technology-Elizabethton,Elizabethton,TN,Predominantly certificate-degree granting,Certificate degree,Public,,Not online only,,,,2-year,,466.0,11417.0,14182.0,False
817,5.42,122,626,6,4,13,33,26,40,Tennessee College of Applied Technology-Hartsville,Hartsville,TN,Predominantly certificate-degree granting,Certificate degree,Public,,Not online only,,,,2-year,,272.0,8507.0,13359.0,False
818,5.94,137,765,6,5,15,38,28,45,Tennessee College of Applied Technology-Hohenwald,Hohenwald,TN,Predominantly certificate-degree granting,Certificate degree,Public,,Not online only,,,,2-year,,284.0,14968.0,17366.0,False
819,2.93,133,766,1,5,11,27,74,15,Jackson State Community College,Jackson,TN,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4324.0,16900.0,0.3958,2-year,1588595.0,2960.0,8138.0,15189.0,False
820,4.02,225,567,0,4,24,25,21,151,Paul Mitchell the School-Murfreesboro,Murfreesboro,TN,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,231.0,11267.0,15888.0,False
821,3.72,212,865,0,23,9,58,42,80,Lincoln Memorial University,Harrogate,TN,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.6853,Not online only,23490.0,23490.0,0.5241,4-year,41410902.0,1612.0,14866.0,36365.0,False
822,4.52,92,528,5,6,24,11,26,20,Middle Tennessee State University,Murfreesboro,TN,Predominantly bachelor's-degree granting,Graduate degree,Public,0.942,Not online only,9070.0,27742.0,0.759,4-year,105574541.0,18005.0,12752.0,21241.0,False
823,5.72,134,787,6,5,14,35,29,45,Tennessee College of Applied Technology-Murfreesboro,Murfreesboro,TN,Predominantly certificate-degree granting,Certificate degree,Public,,Not online only,,,,2-year,,508.0,8958.0,14489.0,False
824,4.64,273,1294,4,7,14,21,80,147,Lincoln College of Technology-Nashville,Nashville,TN,Predominantly certificate-degree granting,Associate degree,Private for-profit,,Not online only,,,0.9821,2-year,,1638.0,19958.0,25383.0,False
825,7.75,489,3086,21,0,108,29,251,80,Volunteer State Community College,Gallatin,TN,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,4312.0,16888.0,1.0,2-year,5551600.0,6834.0,6704.0,13317.0,False
826,3.02,104,815,11,27,12,10,44,0,William R Moore College of Technology,Memphis,TN,Predominantly certificate-degree granting,Associate degree,Private nonprofit,,Not online only,8848.0,8848.0,0.6,2-year,7380272.0,340.0,12253.0,19085.0,False
827,15.79,187,833,1,5,8,11,33,129,Abilene Christian University,Abilene,TX,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.634,Not online only,37800.0,37800.0,0.6846,4-year,444076565.0,3480.0,28051.0,51577.0,False
828,7.04,321,1023,38,120,22,21,119,1,Amberton University,Garland,TX,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,,Not online only,,,0.4286,4-year,40989877.0,186.0,,,False
829,9.23,297,1205,13,5,33,73,92,81,The Art Institute of Houston,Houston,TX,Predominantly bachelor's-degree granting,Bachelor's degree,Private for-profit,,Not online only,19354.0,19354.0,0.2,4-year,,497.0,21696.0,28348.0,False
830,5.43,567,980,31,30,118,23,70,295,Austin Presbyterian Theological Seminary,Austin,TX,Entirely graduate-degree granting,Graduate degree,Private nonprofit,,Not online only,,,1.0,4-year,127642303.0,,,,False
831,5.43,567,980,31,30,118,23,70,295,Austin Presbyterian Theological Seminary- YMCA Outdoor Center,Antioch,TN,Not classified,Non-degree-granting,Private nonprofit,,,,,,4-year,,,,,False
832,5.24,278,770,3,18,41,33,60,123,Del Mar College,Corpus Christi,TX,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,3320.0,5930.0,1.0,2-year,21073361.0,10124.0,5630.0,11091.0,False
833,6.64,270,1202,6,4,16,14,87,143,Dallas College,Dallas,TX,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,2370.0,6000.0,0.3785,4-year,,45888.0,4739.0,10819.0,False
834,5.95,249,777,6,26,38,31,39,109,Hardin-Simmons University,Abilene,TX,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9051,Not online only,31364.0,31364.0,0.5784,4-year,194475217.0,1588.0,20041.0,42530.0,False
835,2.72,179,682,2,5,64,15,70,23,Lubbock Christian University,Lubbock,TX,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9651,Not online only,24260.0,24260.0,0.5143,4-year,21120876.0,1250.0,25823.0,37198.0,False
836,7.63,333,1308,15,60,40,39,97,82,McMurry University,Abilene,TX,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.4739,Not online only,28830.0,28830.0,0.9886,4-year,93811703.0,1049.0,21473.0,41764.0,False
837,8.63,240,963,2,0,33,17,53,135,Covenant School of Nursing and Allied Health,Lubbock,TX,Predominantly certificate-degree granting,Certificate degree,Private nonprofit,,Not online only,,,,2-year,,353.0,,,False
838,6.32,617,1823,67,5,72,5,35,433,William Edge Institute,New Braunfels,TX,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,43.0,13243.0,17583.0,True
839,9.46,229,1456,13,41,11,23,35,106,Tint School of Makeup & Cosmetology,Irving,TX,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,104.0,9567.0,13171.0,False
840,9.46,229,1456,13,41,11,23,35,106,Tint School of Makeup and Cosmetology-Dallas,Grand Prairie,TX,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,219.0,12404.0,16399.0,False
841,4.63,151,900,10,12,25,28,54,22,Navarro College,Corsicana,TX,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,2798.0,6368.0,0.3614,2-year,4310001.0,7139.0,14373.0,16776.0,False
842,6.83,154,856,6,3,20,28,60,37,Lone Star College System,The Woodlands,TX,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,2160.0,6000.0,1.0,4-year,16862047.0,50580.0,8711.0,13738.0,False
843,3.32,396,1030,4,3,7,24,25,333,Paul Quinn College,Dallas,TX,Predominantly bachelor's-degree granting,Bachelor's degree,Private nonprofit,0.6187,Not online only,9992.0,9992.0,0.325,4-year,3060872.0,468.0,14208.0,19189.0,False
844,4.32,103,588,0,8,18,14,31,32,University of St Thomas,Houston,TX,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9609,Not online only,31560.0,31560.0,0.8994,4-year,106589326.0,2330.0,18510.0,42652.0,False
845,3.82,195,1117,6,20,41,20,52,56,Schreiner University,Kerrville,TX,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.9615,Not online only,31938.0,31938.0,0.6126,4-year,72735023.0,1074.0,25182.0,41896.0,False
846,2.92,49,426,0,1,10,6,20,12,Seguin Beauty School-Seguin,Seguin,TX,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,31.0,20172.0,25104.0,False
847,2.92,49,426,0,1,10,6,20,12,Seguin Beauty School-New Braunfels,New Braunfels,TX,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,25.0,21000.0,24669.0,False
848,12.45,95,491,8,11,29,9,30,8,Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,Predominantly certificate-degree granting,Certificate degree,Private for-profit,,Not online only,,,,Less-than-2-year,,25.0,20293.0,27056.0,False
849,12.45,95,491,8,11,29,9,30,8,Southwest School of Business and Technical Careers-South Texas,McAllen,TX,Not classified,Non-degree-granting,Private for-profit,,,,,,Less-than-2-year,,,,,False
850,12.45,95,491,8,11,29,9,30,8,Nuvani Institute-Uvalde,Uvalde,TX,Not classified,Non-degree-granting,Private for-profit,,,,,,Less-than-2-year,,,,,False
851,12.45,95,491,8,11,29,9,30,8,Nuvani Institute-Del Rio,Del Rio,TX,Not classified,Non-degree-granting,Private for-profit,,,,,,Less-than-2-year,,,,,False
852,12.45,95,491,8,11,29,9,30,8,Nuvani Institute-North Campus,Austin,TX,Not classified,Non-degree-granting,Private for-profit,,,,,,Less-than-2-year,,,,,False
853,12.45,95,491,8,11,29,9,30,8,Nuvani Institute-South Campus,Austin,TX,Not classified,Non-degree-granting,Private for-profit,,,,,,Less-than-2-year,,,,,False
854,3.53,211,831,0,26,19,6,25,135,Southwestern Christian College,Terrell,TX,Predominantly associate's-degree granting,Bachelor's degree,Private nonprofit,,Not online only,8132.0,8132.0,0.4783,4-year,,84.0,8495.0,16487.0,False
855,2.82,57,369,0,0,5,16,28,8,Tarrant County College District,Fort Worth,TX,Predominantly associate's-degree granting,Associate degree,Public,,Not online only,1728.0,8235.0,0.3799,2-year,,41369.0,5147.0,10851.0,False
