,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.count,categories.contrast.count,categories.alert.count,categories.feature.count,categories.structure.count,categories.aria.count
31,United States Sports Academy – America's Sports University,ussa.edu,6.53,246,1604,http://wave.webaim.org/report?url=www.ussa.edu/,3,3,19,38,87,96
32,Homepage | Coppin State University,coppin.edu,3.12,446,1520,http://wave.webaim.org/report?url=www.coppin.edu/,11,2,148,30,75,180
33,Homepage | Viterbo University,viterbo.edu,10.53,107,650,http://wave.webaim.org/report?url=www.viterbo.edu/,16,6,8,13,41,23
34,Saint Joseph's University,sju.edu,2.92,233,1079,http://wave.webaim.org/report?url=https://www.sju.edu/,4,7,19,19,78,106
35,James Sprunt Community College,jamessprunt.edu,9.34,314,1860,http://wave.webaim.org/report?url=www.jamessprunt.edu/,3,27,63,64,45,112
36,Your Future Starts at Central Maine Community College,cmcc.edu,3.23,116,974,http://wave.webaim.org/report?url=https://www.cmcc.edu/,3,3,21,23,51,15
37,William Woods University | flourish!,williamwoods.edu,4.02,205,779,http://wave.webaim.org/report?url=https://www.williamwoods.edu/,3,0,17,58,55,72
38,PAFA - Pennsylvania Academy of the Fine Arts | Since 1805,pafa.org,3.13,163,533,http://wave.webaim.org/report?url=https://www.pafa.org/,2,11,14,13,46,77
39,Carl Sandburg College,sandburg.edu,4.45,181,520,http://wave.webaim.org/report?url=www.sandburg.edu/,0,0,7,33,35,106
40,Home | Gordon State College,gordonstate.edu,4.32,632,1029,http://wave.webaim.org/report?url=https://www.gordonstate.edu/,11,31,30,17,39,504
41,Home,navarrocollege.edu,4.63,151,900,http://wave.webaim.org/report?url=www.navarrocollege.edu/,10,12,25,28,54,22
42,"Young Harris College | Educating, Inspiring and Empowering You",yhc.edu,3.22,125,570,http://wave.webaim.org/report?url=www.yhc.edu/,0,1,21,24,21,58
43,"Bryan College | Dayton, TN",bryan.edu,5.02,798,2180,http://wave.webaim.org/report?url=www.bryan.edu/,1,31,130,44,190,402
44,University | Villanova University,villanova.edu,4.43,322,1078,http://wave.webaim.org/report?url=www.villanova.edu/,2,0,56,18,70,176
45,AGM University,agmu.edu,3.04,112,715,http://wave.webaim.org/report?url=www.agmu.edu/,15,4,24,13,33,23
46,An Alfred State degree gets results! | Alfred State,alfredstate.edu,4.93,1191,2196,http://wave.webaim.org/report?url=www.alfredstate.edu/,33,3,73,57,112,913
47,Home,napavalley.edu,4.62,311,1360,http://wave.webaim.org/report?url=www.napavalley.edu/,17,1,7,22,110,154
48,Career Schools in Newport News | Centura College,centuracollege.edu/campuses/newport-news,2.72,207,1070,http://wave.webaim.org/report?url=https://www.centuracollege.edu/campuses/newport-news/,3,57,35,41,35,36
49,Schools of Medical Massage,massageschools.com,2.11,49,223,http://wave.webaim.org/report?url=www.massageschools.com/,6,11,11,10,11,0
50,University of Notre Dame,nd.edu,1.92,130,612,http://wave.webaim.org/report?url=www.nd.edu/,0,3,23,17,50,37
51,LCU: Lubbock Christian University,lcu.edu,2.72,179,682,http://wave.webaim.org/report?url=https://www.lcu.edu/,2,5,64,15,70,23
52,Welcome to Keiser University | Universities in Florida,keiseruniversity.edu,5.63,1030,2932,http://wave.webaim.org/report?url=www.keiseruniversity.edu/,103,65,67,30,173,592
53,Creative Arts School - MediaTech Institute - Real Industry Experience,mediatech.edu,10.25,328,1872,http://wave.webaim.org/report?url=https://www.mediatech.edu/,8,57,97,67,81,18
54,CCMS | Home,ccms.edu,3.42,275,1458,http://wave.webaim.org/report?url=www.ccms.edu/,1,4,17,74,43,136
55,The world's first tuition-free online university University of the People,uopeople.edu,2.82,242,1413,http://wave.webaim.org/report?url=www.uopeople.edu/,24,4,60,40,62,52
56,Entourage Institute of Beauty and Esthetics - Davines Professional Academy of Beauty & Business,davinesproacademy.edu,5.02,250,1308,http://wave.webaim.org/report?url=davinesproacademy.edu/,24,33,24,40,115,14
57,Home | TCAT Hartsville,tcathartsville.edu,5.42,122,626,http://wave.webaim.org/report?url=www.tcathartsville.edu/,6,4,13,33,26,40
58,Amtec – Landing Page,amtec.edu,5.52,294,1141,http://wave.webaim.org/report?url=www.amtec.edu/,19,28,28,49,60,110
59,"CCU College - Training for Hair, Skin, and Nails",ccucollege.net,3.62,48,353,http://wave.webaim.org/report?url=www.ccucollege.net/,14,2,8,4,18,2
