,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.count,categories.contrast.count,categories.alert.count,categories.feature.count,categories.structure.count,categories.aria.count
202,"Marymount University - Catholic University in Arlington, VA",marymount.edu,6.23,566,1621,http://wave.webaim.org/report?url=https://www.marymount.edu/,17,8,102,42,70,327
203,"Fort Stewart, GA | Columbia College",ccis.edu/locations/fort-stewart.aspx,5.33,302,1302,http://wave.webaim.org/report?url=www.ccis.edu/locations/fort-stewart.aspx,6,11,25,30,86,144
204,Welcome to Del Mar College,delmar.edu,5.24,278,770,http://wave.webaim.org/report?url=www.delmar.edu/,3,18,41,33,60,123
205,Central City | GateWay Community College,gatewaycc.edu/about-gateway/central-city-campus,7.04,129,851,http://wave.webaim.org/report?url=www.gatewaycc.edu/about-gateway/central-city-campus,2,1,13,14,46,53
206,Byzantine Catholic Seminary of Saints Cyril and Methodius – Forming Future Leaders for the Church,bcs.edu,7.33,226,1233,http://wave.webaim.org/report?url=www.bcs.edu/,3,11,39,9,80,84
207,Seguin Beauty School - Seguin & New Braunfels Beauty School,seguinbeautyschool.net,2.92,49,426,http://wave.webaim.org/report?url=www.seguinbeautyschool.net/,0,1,10,6,20,12
208,"Franklin College | Liberal Arts School in Franklin, Indiana",franklincollege.edu,4.12,313,1200,http://wave.webaim.org/report?url=www.franklincollege.edu/,20,7,24,5,167,90
209,"Queens College, CUNY | We Learn So That We May Serve",qc.cuny.edu,7.73,1244,2042,http://wave.webaim.org/report?url=https://www.qc.cuny.edu/,1,6,61,27,179,970
210,New England School of Hair Design,neschoolofhairdesign.com,4.92,83,520,http://wave.webaim.org/report?url=www.neschoolofhairdesign.com/,2,0,4,8,37,32
211,Asnuntuck Community College – A great place to study and grow.,asnuntuck.edu,8.34,385,3393,http://wave.webaim.org/report?url=www.asnuntuck.edu/,80,10,96,41,81,77
212,Home | University of Pittsburgh,pitt.edu,3.62,553,1143,http://wave.webaim.org/report?url=www.pitt.edu/,18,64,61,64,75,271
213,Associated Technical College Los Angeles – An Education For Life,atcla.edu,3.22,50,304,http://wave.webaim.org/report?url=www.atcla.edu/,0,0,0,12,30,8
214,F.I.R.S.T. Institute | Digital Media School,first.edu,2.82,352,1026,http://wave.webaim.org/report?url=www.first.edu/,1,23,58,25,40,205
215,Pontifical John Paul II Institute for Studies on Marriage and Family at The Catholic University of America,johnpaulii.edu,5.02,446,2149,http://wave.webaim.org/report?url=www.johnpaulii.edu/,10,6,44,29,86,271
216,Home | Rowan | Rowan University,rowan.edu,6.72,137,1271,http://wave.webaim.org/report?url=https://www.rowan.edu/,7,28,15,18,53,16
217,"Cosmetology & Beauty School in Reno, NV | Paul Mitchell",paulmitchell.edu/reno,2.52,77,450,http://wave.webaim.org/report?url=paulmitchell.edu/reno,0,3,16,14,26,18
218,"Midland University | College in Fremont, Omaha & Online",midlandu.edu,4.42,183,1137,http://wave.webaim.org/report?url=https://www.midlandu.edu/,0,4,25,35,74,45
219,Welcome to the University of Alaska Southeast,uas.alaska.edu,7.53,286,1318,http://wave.webaim.org/report?url=www.uas.alaska.edu/,0,1,30,17,55,183
220,"University of the District of Columbia, Washington, DC - HBCU, Land-grant",udc.edu,5.83,262,1455,http://wave.webaim.org/report?url=www.udc.edu/,16,0,43,47,79,77
221,Colorado Christian University,ccu.edu,3.42,143,729,http://wave.webaim.org/report?url=https://www.ccu.edu/,29,13,17,27,41,16
222,County College of Morris – Experience Success,ccm.edu,6.13,220,1520,http://wave.webaim.org/report?url=www.ccm.edu/,12,8,25,25,52,98
223,Home - University of New Haven,newhaven.edu,3.42,194,730,http://wave.webaim.org/report?url=www.newhaven.edu/,2,0,11,13,103,65
224,De Anza College - Tops in Transfer,deanza.edu,4.02,139,621,http://wave.webaim.org/report?url=www.deanza.edu/,0,8,17,26,58,30
225,Great Lakes Institute of Technology - Erie PA Healthcare Training School,glit.edu,4.72,259,936,http://wave.webaim.org/report?url=www.glit.edu/,5,35,20,19,63,117
226,"Catholic University of America - Washington, DC | CUA",catholic.edu,6.33,321,820,http://wave.webaim.org/report?url=https://www.catholic.edu/,2,8,84,21,54,152
227,Healthcare Training School & Healthcare College at CHAC,chac.edu,5.43,180,754,http://wave.webaim.org/report?url=www.chac.edu/,10,20,16,10,25,99
228,New Mexico State University | BE BOLD. Shape the Future.,nmsu.edu,3.62,176,764,http://wave.webaim.org/report?url=www.nmsu.edu/,13,0,23,33,54,53
229,Home | Lenoir-Rhyne University,lr.edu,3.52,323,1187,http://wave.webaim.org/report?url=www.lr.edu/,1,18,38,33,35,198
230,Davenport University,davenport.edu,3.52,157,777,http://wave.webaim.org/report?url=davenport.edu/,2,5,9,14,65,62
231,Atlanta Institute of Music & Media College | Online Degrees Offered,aimm.edu,6.33,587,1332,http://wave.webaim.org/report?url=aimm.edu/,16,56,66,53,75,321
232,Missouri State University - Missouri State,missouristate.edu,9.0,191,704,http://wave.webaim.org/report?url=www.missouristate.edu/,0,1,18,33,68,71
233,Northwestern College | Iowa’s Standout Christian College,nwciowa.edu,5.03,111,840,http://wave.webaim.org/report?url=https://www.nwciowa.edu/,10,4,10,18,37,32
234,San Antonio | Concorde Career Colleges,concorde.edu/campus/san-antonio-texas,5.44,270,1097,http://wave.webaim.org/report?url=https://www.concorde.edu/campus/san-antonio-texas,16,10,40,47,52,105
235,Cosmetology & Beauty Schools in Utah | Taylor Andrews,taylorandrew.com,6.05,256,798,http://wave.webaim.org/report?url=www.taylorandrew.com/,17,33,58,28,43,77
236,"GIC | Beauty School in Cumming, Georgia. Beauty School in Athens, Georgia. Beauty School in Gainesville, Georgia. Beauty School in Martinez, Georgia. Beauty School in Sugar Hill, Georgia Buford – The Georgia Institute of Cosmetology",gic.edu,6.55,142,906,http://wave.webaim.org/report?url=gic.edu/,2,5,12,13,50,60
237,"Canisius College - Buffalo, NY",canisius.edu,4.93,1188,4033,http://wave.webaim.org/report?url=https://www.canisius.edu/,7,13,162,33,322,651
238,Home - Franklin Technology Center Adult Education,franklintechnologycenter.com,6.75,340,1227,http://wave.webaim.org/report?url=www.franklintechnologycenter.com/,14,13,72,22,46,173
239,Home | The Evergreen State College,evergreen.edu,3.34,94,450,http://wave.webaim.org/report?url=www.evergreen.edu/,0,0,19,28,33,14
240,"American Indian OIC - Education and Career Services in Minneapolis, MN",aioic.org,4.02,98,560,http://wave.webaim.org/report?url=www.aioic.org/,4,14,28,7,36,9
241,North Georgia Technical College,northgatech.edu,4.32,144,1289,http://wave.webaim.org/report?url=https://northgatech.edu/,5,45,19,16,59,0
242,University of Hawaii at Hilo,hilo.hawaii.edu,3.94,238,756,http://wave.webaim.org/report?url=https://hilo.hawaii.edu/,7,9,19,37,44,122
243,Indian Bible College | Biblical. Relational. Transformational.,indianbible.org,8.64,208,757,http://wave.webaim.org/report?url=https://www.indianbible.org/,27,13,48,15,53,52
244,Universidad Interamericana de Puerto Rico Recinto de Fajardo,fajardo.inter.edu,6.93,187,1094,http://wave.webaim.org/report?url=www.fajardo.inter.edu/,36,17,54,14,64,2
245,Voorhees University The Next Level of Excellence | Voorhees College,voorhees.edu,8.16,272,1186,http://wave.webaim.org/report?url=www.voorhees.edu/,30,6,80,50,101,5
246,UW-Eau Claire | UW-Eau Claire,uwec.edu,4.32,121,497,http://wave.webaim.org/report?url=www.uwec.edu/,0,1,26,20,56,18
247,Spokane Falls Community College,sfcc.spokane.edu,4.42,188,665,http://wave.webaim.org/report?url=https://sfcc.spokane.edu/,19,7,14,17,46,85
248,Soka University of America,soka.edu,2.72,84,780,http://wave.webaim.org/report?url=www.soka.edu/,0,1,5,21,35,22
249,Starr King School for the Ministry - Home,sksm.edu,5.32,156,1105,http://wave.webaim.org/report?url=www.sksm.edu/,30,10,32,16,46,22
250,"Fort Leonard Wood, MO | Columbia College",ccis.edu/locations/fort-leonard-wood.aspx,4.23,301,1307,http://wave.webaim.org/report?url=https://www.ccis.edu/locations/fort-leonard-wood.aspx,6,11,24,30,87,143
251,Derech Hachaim Seminary – Derech Hachaim Seminary,derechhachaimseminary.com,2.72,45,350,http://wave.webaim.org/report?url=derechhachaimseminary.com/,5,2,3,1,21,13
252,Vista Adult School | Adult Education Classes in Vista CA,vistaadultschool.org,2.22,127,219,http://wave.webaim.org/report?url=vistaadultschool.org/,5,14,14,13,14,67
253,Boise State University,boisestate.edu,5.23,111,406,http://wave.webaim.org/report?url=https://www.boisestate.edu/,0,0,1,5,37,68
254,University of Denver,du.edu,4.72,267,860,http://wave.webaim.org/report?url=www.du.edu/,3,2,59,34,76,93
255,Staunton School of Cosmetology |,hairstylingschool.com,4.62,39,316,http://wave.webaim.org/report?url=hairstylingschool.com/,2,8,2,5,19,3
256,RACC Homepage,racc.edu,2.52,139,967,http://wave.webaim.org/report?url=https://www.racc.edu/,12,34,37,14,35,7
257,Knox College - nationally ranked liberal arts college,knox.edu,4.12,110,390,http://wave.webaim.org/report?url=https://www.knox.edu/,9,40,23,25,12,1
258,WNY’s Premier Health Sciences Educator | Daemen University,daemen.edu,3.22,135,530,http://wave.webaim.org/report?url=www.daemen.edu/,16,9,9,10,36,55
259,Alexandria Technical & Community College,alextech.edu,2.52,199,815,http://wave.webaim.org/report?url=www.alextech.edu/,1,26,49,33,76,14
260,,northcoastmedicalacademy.com,2.52,7,68,http://wave.webaim.org/report?url=northcoastmedicalacademy.com/,1,0,4,1,1,0
261,Welcome to Suffolk County Community College - Home of the Sharks,sunysuffolk.edu,3.63,363,773,http://wave.webaim.org/report?url=https://www.sunysuffolk.edu/,0,0,26,41,50,246
262,Home | Pratt Community College,prattcc.edu,3.42,230,759,http://wave.webaim.org/report?url=www.prattcc.edu/,1,48,20,28,33,100
263,Jackson College - Online and In-Person Associate Degrees,jccmi.edu,4.72,153,846,http://wave.webaim.org/report?url=www.jccmi.edu/,0,1,35,26,50,41
264,Colorado School of Healing Arts – The Future is in Your Hands,csha.net,3.92,80,445,http://wave.webaim.org/report?url=www.csha.net/,15,3,10,7,33,12
265,Homepage | Five Towns College,ftc.edu,6.72,470,3509,http://wave.webaim.org/report?url=www.ftc.edu/,26,53,134,53,123,81
266,Jacksonville | Concorde Career Colleges,concorde.edu/campus/jacksonville-florida,3.92,256,1101,http://wave.webaim.org/report?url=https://www.concorde.edu/campus/jacksonville-florida,9,9,33,47,50,108
267,Home - New College of Florida,ncf.edu,2.93,301,1223,http://wave.webaim.org/report?url=www.ncf.edu/,0,2,25,31,72,171
268,"Mississippi Institute of Aesthetics, Nails, & Cosmetology | Mississippi Institute of Aesthetics, Nails, & Cosmetology",msinstitute.com,5.53,30,120,http://wave.webaim.org/report?url=msinstitute.com/,6,7,10,3,3,1
269,University of Hawaii Maui College - We Are Maui More Than Ever,maui.hawaii.edu,13.31,523,1694,http://wave.webaim.org/report?url=maui.hawaii.edu/,4,7,48,114,69,281
270,San José State University,sjsu.edu,5.23,364,1242,http://wave.webaim.org/report?url=www.sjsu.edu/,3,3,25,59,88,186
271,Home,deluxebarbercollege.com,2.82,74,365,http://wave.webaim.org/report?url=www.deluxebarbercollege.com/,15,0,19,35,5,0
272,"Academy of Career Training Barbering & Beauty School in Deltona, Fl",academyofcareertraining.com,3.02,93,419,http://wave.webaim.org/report?url=academyofcareertraining.com/,10,22,21,5,6,29
273,"East Arkansas Community College | Forrest City, Arkansas",eacc.edu,3.22,89,613,http://wave.webaim.org/report?url=https://www.eacc.edu/,0,0,4,24,32,29
274,ITC - Christian Africentric Ecumenical Theological Seminaries and Fellowship,itc.edu,3.82,196,979,http://wave.webaim.org/report?url=www.itc.edu/,3,3,74,19,50,47
275,Eastern New Mexico University | Student Success! That's What We're About!,enmu.edu,4.43,200,1565,http://wave.webaim.org/report?url=www.enmu.edu/,3,0,44,34,99,20
276,"More Opportunity, Less Debt | Berkshire Community College",berkshirecc.edu,2.52,74,309,http://wave.webaim.org/report?url=www.berkshirecc.edu/,0,1,1,8,30,34
277,Divers Institute of Technology | DIT | Commercial Diving School & Diving Courses | Scuba Diving,diversinstitute.edu,3.42,235,1391,http://wave.webaim.org/report?url=www.diversinstitute.edu/,63,30,25,9,57,51
278,"Cosmetology School in Joplin, MO ❘ New Dimensions School of Hair Design",newdimensionsschoolofhairdesign.com,3.22,99,541,http://wave.webaim.org/report?url=newdimensionsschoolofhairdesign.com/,4,2,14,12,36,31
279,C-TEC of Licking County | Home,c-tec.edu/ae,3.82,47,240,http://wave.webaim.org/report?url=c-tec.edu/ae,2,0,1,12,13,19
280,St. Louis College of Health Careers | Missouri,slchc.edu,8.93,328,1555,http://wave.webaim.org/report?url=www.slchc.edu/,21,84,35,44,69,75
281,APPLY TO RCC TODAY - Rappahannock Community College,rappahannock.edu,5.73,274,1227,http://wave.webaim.org/report?url=www.rappahannock.edu/,6,47,60,30,26,105
282,Spartan College of Aeronautics and Technology,spartan.edu,3.32,115,803,http://wave.webaim.org/report?url=www.spartan.edu/,2,0,50,17,37,9
283,Hult International Business School - For Those Made to Do,hult.edu,3.83,255,905,http://wave.webaim.org/report?url=www.hult.edu/,17,14,110,18,19,77
284,Real Community. Real Experiences - McMurry University,mcm.edu,7.63,333,1308,http://wave.webaim.org/report?url=https://mcm.edu/,15,60,40,39,97,82
285,,nbccosmetology.com,3.33,90,300,http://wave.webaim.org/report?url=www.nbccosmetology.com/,6,3,35,10,20,16
286,Cameo College of Essential Beauty | Beauty School Murray Ut,cameocollege.com,9.04,221,1230,http://wave.webaim.org/report?url=www.cameocollege.com/,41,10,21,29,51,69
287,University at Albany - State University of New York,albany.edu,5.53,115,2008,http://wave.webaim.org/report?url=www.albany.edu/,3,0,11,28,43,30
288,Start Your New Career - Academy of Cosmetology,academyofcosmetology.edu,7.34,260,1134,http://wave.webaim.org/report?url=academyofcosmetology.edu/,8,24,35,20,63,110
289,Welcome to Tri-County Community College - Tri-County Community College,tricountycc.edu,2.83,168,913,http://wave.webaim.org/report?url=www.tricountycc.edu/,18,3,51,20,53,23
290,Western Technical College | The affordable path to a great career and a better life,westerntc.edu,3.92,428,1704,http://wave.webaim.org/report?url=https://www.westerntc.edu/,4,0,55,37,73,259
291,"Cosmetology & Beauty School in Columbus, OH | Paul Mitchell",paulmitchell.edu/columbus,3.06,130,603,http://wave.webaim.org/report?url=paulmitchell.edu/columbus,0,3,30,16,29,52
292,"Eagle Gate College: Idaho Falls Campus | Healthcare Colleges in Idaho Falls, ID",eaglegatecollege.edu/locations/idaho-falls,2.82,274,1123,http://wave.webaim.org/report?url=https://www.eaglegatecollege.edu/locations/idaho-falls/,1,23,54,19,47,130
293,"Yeshiva D'Monsey – Monsey, New York",yeshivadmonsey.com,2.52,33,134,http://wave.webaim.org/report?url=https://yeshivadmonsey.com/,0,8,8,5,10,2
294,College of the Atlantic,coa.edu,7.03,210,1254,http://wave.webaim.org/report?url=www.coa.edu/,12,2,16,77,102,1
295,Western Michigan University | Pursue your purpose,wmich.edu,3.92,154,825,http://wave.webaim.org/report?url=https://wmich.edu/,3,11,11,26,66,37
296,Hebrew Union College - Jewish Institute of Religion,huc.edu,4.42,756,1494,http://wave.webaim.org/report?url=www.huc.edu/,0,65,86,68,72,465
297,MSU Northern - MSU Northern | MSU Northern,msun.edu,2.72,110,552,http://wave.webaim.org/report?url=www.msun.edu/,3,1,39,16,37,14
298,Home | UCCS,uccs.edu,5.22,282,1225,http://wave.webaim.org/report?url=https://www.uccs.edu/,1,4,19,28,51,179
299,Best Care College (BCC),bestcarecollege.edu,2.82,138,426,http://wave.webaim.org/report?url=bestcarecollege.edu/,7,0,29,28,30,44
300,The Salon Professional Academy | - TSPA Battle Creek,tspabattlecreek.com,4.22,92,483,http://wave.webaim.org/report?url=www.tspabattlecreek.com/,2,11,15,6,40,18
301,Front Range Community College | FRCC Home | FRCC,frontrange.edu,3.62,228,1781,http://wave.webaim.org/report?url=www.frontrange.edu/,4,25,49,48,83,19
302,Oklahoma Panhandle State University Home,opsu.edu,2.42,320,782,http://wave.webaim.org/report?url=www.opsu.edu/,0,19,19,10,53,219
303,Woodbury University - Woodbury University,woodbury.edu,5.72,407,1668,http://wave.webaim.org/report?url=https://woodbury.edu/,31,20,125,17,132,82
304,San Joaquin Delta College |,deltacollege.edu,4.42,624,1485,http://wave.webaim.org/report?url=www.deltacollege.edu/,6,13,47,23,110,425
305,"Trade/Technical School | Danbury & Waterbury, CT | Industrial Management & Training Institute",imti.edu,3.82,159,623,http://wave.webaim.org/report?url=imti.edu/,12,11,29,5,54,48
306,Cascadia College,cascadia.edu,2.62,202,659,http://wave.webaim.org/report?url=www.cascadia.edu/,4,12,131,31,22,2
307,"Compass Career College | Vocational Training in Hammond, LA",compasscareercollege.net,3.82,126,521,http://wave.webaim.org/report?url=www.compasscareercollege.net/,35,4,9,10,26,42
308,Spa Tech Institute Massage Schools in Maine and Massachusetts,spatech.edu,4.22,670,2469,http://wave.webaim.org/report?url=www.spatech.edu/,121,30,119,13,65,322
309,"Westminster Seminary California - Home - For Christ, His Gospel, and His Church",wscal.edu,2.72,223,980,http://wave.webaim.org/report?url=www.wscal.edu/,3,95,16,28,77,4
310,Home - Texas Barber College - Become A Barber - Dallas/Houston,txbarber.edu,2.62,93,511,http://wave.webaim.org/report?url=www.txbarber.edu/,1,20,14,15,20,23
311,Manatee Technical College - Career and Technical Education + Continuing Education + ESOL and GED® in Bradenton Florida,manateetech.edu,11.74,347,1455,http://wave.webaim.org/report?url=manateetech.edu/,4,2,32,217,41,51
312,Home | University of Michigan-Flint,umflint.edu,6.53,183,790,http://wave.webaim.org/report?url=www.umflint.edu/,10,5,52,24,41,51
313,Welcome to Gateway Community College,gatewayct.edu,6.22,238,1881,http://wave.webaim.org/report?url=www.gatewayct.edu/,17,32,44,54,39,52
314,Helms College,helms.edu,4.44,212,659,http://wave.webaim.org/report?url=www.helms.edu/,27,40,57,4,53,31
315,Online and On Campus Degrees | Post University,post.edu,5.82,824,5566,http://wave.webaim.org/report?url=www.post.edu/,5,2,60,19,269,469
316,South Hills School of Business & Technology,southhills.edu,7.44,213,1274,http://wave.webaim.org/report?url=https://www.southhills.edu/,20,11,15,26,57,84
317,Trade School NJ | Aviation Institute of Maintenance,teterboroschool.com,5.13,230,1221,http://wave.webaim.org/report?url=www.teterboroschool.com/,9,36,21,20,57,87
318,Virginia Western Community College – Virginia Western Community College,virginiawestern.edu,10.65,132,852,http://wave.webaim.org/report?url=virginiawestern.edu/,2,1,11,11,52,55
319,Butler University,butler.edu,5.23,214,895,http://wave.webaim.org/report?url=www.butler.edu/,7,7,21,65,30,84
320,Cosmetology & Beauty School in WA | Summit Salon Academy,summitsalonacademy.edu,4.92,374,1620,http://wave.webaim.org/report?url=www.summitsalonacademy.edu/,37,22,35,31,35,214
321,BMCC,bmcc.cuny.edu,6.44,115,1167,http://wave.webaim.org/report?url=www.bmcc.cuny.edu/,9,7,23,38,31,7
322,Yeshiva Mayan HaTalmud,mayanhatalmud.org,2.02,186,452,http://wave.webaim.org/report?url=www.mayanhatalmud.org/,5,10,4,5,21,141
323,Top Nails & Hair Beauty School Utah,topbeautyschoolutah.com,6.03,60,406,http://wave.webaim.org/report?url=www.topbeautyschoolutah.com/,2,8,3,11,34,2
324,Homepage | LAVC,lavc.edu,4.04,474,1934,http://wave.webaim.org/report?url=www.lavc.edu/,3,1,8,25,154,283
325,Graduate Psychology Programs in New Orleans | TCSPP,thechicagoschool.edu/new-orleans,9.03,231,1405,http://wave.webaim.org/report?url=https://www.thechicagoschool.edu/new-orleans/,0,3,13,21,50,144
326,Palm Beach State College | Palm Beach State College,palmbeachstate.edu,6.54,887,1738,http://wave.webaim.org/report?url=www.palmbeachstate.edu/,11,4,102,65,99,606
327,Concordia University Wisconsin,cuw.edu,3.73,185,631,http://wave.webaim.org/report?url=https://www.cuw.edu/,7,7,3,9,53,106
328,Alturacollege.com,alturacollege.com,2.32,9,30,http://wave.webaim.org/report?url=www.alturacollege.com/,1,3,0,0,5,0
329,Regional and Online Programs | Springfield College,springfield.edu/regional-and-online,4.82,106,1192,http://wave.webaim.org/report?url=https://springfield.edu/regional-and-online,2,1,6,25,32,40
330,"Cosmetology & Beauty School in Chicago, IL | Paul Mitchell",paulmitchell.edu/chicago,3.04,81,466,http://wave.webaim.org/report?url=paulmitchell.edu/chicago,0,3,17,16,27,18
331,"Career and Trade Schools in Nashville, TN | Remington College",remingtoncollege.edu/locations/nashville,3.22,229,1198,http://wave.webaim.org/report?url=https://www.remingtoncollege.edu/locations/nashville/,10,4,42,47,64,62
332,HOME | Formations,formationsinstitute.org,9.74,105,535,http://wave.webaim.org/report?url=formationsinstitute.org/,2,7,12,6,26,52
333,Rabbinical College Beth Shraga,rabbinicalcollegebethshraga.com,2.62,50,430,http://wave.webaim.org/report?url=https://rabbinicalcollegebethshraga.com/,4,2,7,4,17,16
334,Baptist Bible College,gobbc.edu,5.92,211,1079,http://wave.webaim.org/report?url=www.gobbc.edu/,34,1,32,6,126,12
335,"Crystal Lake, IL | Columbia College",ccis.edu/locations/crystal-lake.aspx,4.43,304,1309,http://wave.webaim.org/report?url=www.ccis.edu/locations/crystal-lake.aspx,6,11,25,31,87,144
336,Home - Oklahoma City Community College,occc.edu,5.43,183,1623,http://wave.webaim.org/report?url=www.occc.edu/,45,7,35,21,19,56
337,Transforming Consciousness Through Education,swc.edu,7.63,303,969,http://wave.webaim.org/report?url=www.swc.edu/,27,89,51,24,79,33
338,"Stony Brook University, New York",stonybrook.edu,4.23,322,997,http://wave.webaim.org/report?url=https://www.stonybrook.edu/,2,19,146,17,88,50
339,Central Virginia Community College,centralvirginia.edu,3.83,152,733,http://wave.webaim.org/report?url=www.centralvirginia.edu/,0,8,9,20,42,73
340,LaJames College - Beauty School - LaJames College & Beauty School,lajames.edu,8.03,186,825,http://wave.webaim.org/report?url=www.lajames.edu/,12,38,19,23,36,58
341,DSDT – Train. Employ. Empower.,dsdt.edu,15.84,150,852,http://wave.webaim.org/report?url=https://dsdt.edu/,22,31,24,20,42,11
342,Home | Marietta College,marietta.edu,3.82,1189,2234,http://wave.webaim.org/report?url=www.marietta.edu/,27,26,81,47,88,920
343,Chisholm Trail Technology Center - Home,cttc.edu,4.52,242,1345,http://wave.webaim.org/report?url=www.cttc.edu/,4,0,24,18,52,144
344,"WESTERN - Western Oklahoma State College | Altus, OK",wosc.edu,1.92,195,531,http://wave.webaim.org/report?url=www.wosc.edu/,1,4,6,11,40,133
345,Homepage,cookman.edu,4.82,96,553,http://wave.webaim.org/report?url=www.cookman.edu/,17,6,13,18,22,20
346,Prescott | Embry-Riddle Aeronautical University,prescott.erau.edu,3.62,242,896,http://wave.webaim.org/report?url=prescott.erau.edu/,0,5,72,17,76,72
347,"UNITEC de Puerto Rico ofrece Programas Técnicos, Grados Asociados y Bachillerato en diversas áreas. – UNITEC de Puerto Rico ofrece Programas Técnicos, Grados Asociados y Bachillerato en diversas áreas.",unitecpr.edu,5.73,935,2361,http://wave.webaim.org/report?url=www.unitecpr.edu/,8,12,15,36,161,703
348,Home | BUSINESS NAME,topofthelinebarbercollege.edu,4.33,89,427,http://wave.webaim.org/report?url=www.topofthelinebarbercollege.edu/,4,0,6,3,19,57
349,Beauty School in Ohio | Summit Salon Academy Perrysburg,summitsalonacademyperrysburg.edu,8.33,365,1264,http://wave.webaim.org/report?url=www.summitsalonacademyperrysburg.edu/,38,7,27,19,28,246
350,Adler University,adler.edu,2.61,152,1302,http://wave.webaim.org/report?url=https://www.adler.edu/,23,18,21,18,56,16
351,Home > College Of Central Florida,cf.edu,6.33,220,973,http://wave.webaim.org/report?url=www.cf.edu/,1,5,15,29,63,107
352,"South University Tampa, FL Campus | Programs & Degrees",southuniversity.edu/tampa,8.32,835,1813,http://wave.webaim.org/report?url=www.southuniversity.edu/tampa,24,8,23,84,115,581
353,University of Health Sciences and Pharmacy in St. Louis,uhsp.edu,3.44,145,840,http://wave.webaim.org/report?url=www.uhsp.edu/,15,4,46,8,36,36
354,Home - Upper Valley Educators Institute,uvei.edu,2.82,603,1270,http://wave.webaim.org/report?url=www.uvei.edu/,6,52,24,36,23,462
355,Home - Northwest Iowa Community College,nwicc.edu,8.24,196,1292,http://wave.webaim.org/report?url=www.nwicc.edu/,1,4,79,29,58,25
356,The Citadel - The Military College of South Carolina,citadel.edu,5.63,150,943,http://wave.webaim.org/report?url=www.citadel.edu/,2,0,17,23,59,49
357,LPN Program and CNA Classes in CT | Stone Academy,stone.edu,2.62,63,387,http://wave.webaim.org/report?url=www.stone.edu/,1,1,8,5,7,41
358,Home - Cochran School of Nursing,cochranschoolofnursing.us,2.82,242,591,http://wave.webaim.org/report?url=www.cochranschoolofnursing.us/,1,7,16,4,24,190
359,"Amberton University | Affordable, Flexible Education Designed for Adults",amberton.edu,7.04,321,1023,http://wave.webaim.org/report?url=www.amberton.edu/,38,120,22,21,119,1
360,Home - Surry Community College,surry.edu,3.72,163,761,http://wave.webaim.org/report?url=https://surry.edu/,1,2,8,43,83,26
361,"Thomas College | Waterville, Maine | Private College in Maine",thomas.edu,3.82,412,978,http://wave.webaim.org/report?url=www.thomas.edu/,11,28,28,25,66,254
362,"Headmasters School of Hair Design, Lewiston, Idaho",headmasters.edu,4.93,62,373,http://wave.webaim.org/report?url=https://headmasters.edu/,2,14,24,6,16,0
363,"Cosmetology School - Aveda Fredric’s Institute Cincinnati, OH - Beauty Academy",avedafi.edu/cincinnati,7.63,628,1225,http://wave.webaim.org/report?url=https://www.avedafi.edu/cincinnati/,33,39,54,39,122,341
364,"Colleges of Medicine, Pharmacy & Graduate Studies | NEOMED",neomed.edu,7.13,151,928,http://wave.webaim.org/report?url=www.neomed.edu/,9,9,19,13,62,39
365,California Intercontinental University | Accredited Online Degree Programs,caluniversity.edu,3.02,401,2030,http://wave.webaim.org/report?url=https://www.caluniversity.edu/,9,22,28,16,87,239
366,Christ Mission College - Generations Reaching the Nations,cmctx.edu,7.73,177,983,http://wave.webaim.org/report?url=cmctx.edu/,8,3,14,12,31,109
367,California Career College,californiacareercollege.edu,2.62,143,632,http://wave.webaim.org/report?url=www.californiacareercollege.edu/,9,6,17,6,25,80
368,Health Care Degrees & Certificates at Carrington College,carrington.edu,4.02,195,763,http://wave.webaim.org/report?url=https://carrington.edu/,0,29,24,27,60,55
369,Richmond Campus - Ivy Tech Community College of Indiana,ivytech.edu/richmond,4.82,354,1488,http://wave.webaim.org/report?url=www.ivytech.edu/richmond/,18,4,22,91,64,155
370,Rhodes State College | Rhodes State College,rhodesstate.edu,5.23,365,2244,http://wave.webaim.org/report?url=www.rhodesstate.edu/,122,0,11,14,155,63
371,Welcome to IDEA at ATEP | IDEA at ATEP,atep.ivc.edu,2.72,22,149,http://wave.webaim.org/report?url=https://atep.ivc.edu/,5,1,2,4,9,1
372,City Colleges of Chicago - Richard J. Daley -  Home,ccc.edu/colleges/daley/pages/default.aspx,8.94,315,2493,http://wave.webaim.org/report?url=ccc.edu/colleges/daley/pages/default.aspx,5,1,73,21,192,23
373,Home - Western Iowa Tech Community College,witcc.edu,4.93,115,524,http://wave.webaim.org/report?url=https://www.witcc.edu/,0,4,21,30,11,49
374,"Roosevelt University | Chicago and Schaumburg, Illinois and Online",roosevelt.edu,3.62,277,843,http://wave.webaim.org/report?url=www.roosevelt.edu/,4,8,169,18,54,24
375,University of Illinois Chicago,uic.edu,9.05,205,744,http://wave.webaim.org/report?url=www.uic.edu/,2,1,4,12,69,117
376,"Appalachian State University / Boone, North Carolina",appstate.edu,3.22,111,629,http://wave.webaim.org/report?url=www.appstate.edu/,4,0,32,39,34,2
377,University of North Carolina Wilmington,uncw.edu,3.01,122,473,http://wave.webaim.org/report?url=www.uncw.edu/,2,17,25,20,53,5
