,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
4492,Empire Beauty School-West Mifflin,West Mifflin,PA,empire.edu,1,1,3,,0.0,,21384.0,,,,3,,69.0,,16691.0
4493,ATI College-Whittier,Whitter,CA,ati.edu,3,3,3,,0.0,,28389.0,,,,1,,105.0,,22509.0
4494,Advance Science International College,Miami Lakes,FL,asicollege.edu,2,2,3,,0.0,,34644.0,,,,2,,62.0,,31321.0
4495,ATA College,El Cajon,CA,apply.atacollege.edu,1,2,3,,0.0,,24317.0,,,,2,,63.0,,18016.0
4496,American Advanced Technicians Institute,Hialeah,FL,aati.edu,1,1,3,,0.0,,25235.0,,,,3,,48.0,,21941.0
4497,Baptist University of the Americas,San Antonio,TX,bua.edu,3,3,2,,0.0,13804.0,,6768.0,6768.0,,1,3565354.0,120.0,,7740.0
4498,The Beauty Institute,West  Palm Beach,FL,thebeautyinstitute.edu,1,1,3,,0.0,,16803.0,,,,3,,15.0,,11939.0
4499,Beis Medrash Heichal Dovid,Far Rockaway,NY,heichaldovid.org,3,3,2,0.7714,0.0,18500.0,,11100.0,11100.0,,1,,155.0,,7349.0
4500,Blue Cliff Career College,Mobile,AL,blue.edu,1,1,3,0.8947,0.0,,20435.0,,,,3,,25.0,,16426.0
4501,Career Beauty College,Lawrenceburg,TN,cbclburg.com,1,1,3,,0.0,,10575.0,,,,3,,23.0,,7903.0
4502,Paul Mitchell the School-Gastonia,Gastonia,NC,paulmitchell.edu/gastonia,1,1,3,,0.0,,19383.0,,,,3,,340.0,,14775.0
4503,CES College,Burbank,CA,cescollege.edu,1,1,2,,0.0,,33775.0,,,,3,,116.0,,27630.0
4504,Stellar Career College,Modesto,CA,stellarcollege.edu,1,1,3,,0.0,,18499.0,,,,3,,115.0,,15446.0
4505,Auguste Escoffier School of Culinary Arts-Austin,Austin,TX,escoffier.edu,2,2,3,,0.0,,21549.0,,,1.0,2,,543.0,,16825.0
4506,Culinary Institute Inc,Houston,TX,culinaryinstitute.edu,1,2,3,,0.0,32323.0,,17381.0,17381.0,0.9333,2,,298.0,,26175.0
4507,Escuela Hotelera de San Juan,Hato Rey,PR,escuelahotelera.edu,1,1,3,,0.0,21448.0,,14255.0,14255.0,,3,,364.0,,15467.0
4508,Orion Institute,Perrysburg,OH,orion.edu/orioninstitute,1,1,3,,0.0,,,,,,3,,90.0,,
4509,Moore Career College,Baton Rouge,LA,moorecareercollege.edu,1,1,3,,0.0,,21941.0,,,,3,,108.0,,21738.0
4510,Industrial Technical College,Humacao,PR,industrialtechnicalcollege.com,1,1,3,,0.0,9415.0,,7380.0,7380.0,,3,,87.0,,4702.0
4511,Institute of Clinical Acupuncture & Oriental Med,Honolulu,HI,orientalmedicine.edu,4,4,3,,0.0,,,,,,1,,,,
4512,Gwinnett College-Marietta Campus,Marietta,GA,gwinnettcollege.edu,1,2,3,,0.0,,25326.0,,,,2,,248.0,,21183.0
4513,Leston College,Bayamon,PR,lestoncollege.com,1,1,3,,0.0,,9860.0,,,,3,,30.0,,5519.0
4514,Charlotte Christian College and Theological Seminary,Charlotte,NC,charlottechristian.edu,3,4,2,,0.0,,,11125.0,11125.0,,1,,58.0,,
4515,Nightingale College,Salt Lake City,UT,nightingale.edu,3,3,3,,0.0,,31800.0,,,0.9733,1,,2273.0,,28104.0
4516,Omnitech Institute,EAST POINT,GA,omnitech.edu,1,1,3,,0.0,,28961.0,,,,3,,131.0,,26756.0
4517,PITC Institute,Wyncote,PA,pitc.edu/index.html,2,2,3,,0.0,,22267.0,,,0.1667,2,,619.0,,18258.0
4518,Skinworks School of Advanced Skincare,Salt Lake City,UT,skinworks.edu,1,1,3,,0.0,,24401.0,,,,3,,141.0,,19962.0
4519,Southeastern College-Columbia,Columbia,SC,sec.edu,1,2,3,1.0,0.0,35640.0,,21320.0,21320.0,0.7778,2,,185.0,,31530.0
4520,Technical Learning Centers Inc,Washington,DC,prospectcollege.edu,1,1,3,,0.0,,26491.0,,,,3,,303.0,,19779.0
4521,Turning Point Beauty College,Casa Grande,AZ,turningpointbeauty.com,1,1,3,,0.0,,18585.0,,,,3,,135.0,,11418.0
4522,Unitech Training Academy-Lafayette,Lafayette,LA,unitechta.edu,1,1,3,,0.0,,24814.0,,,,3,,234.0,,20476.0
4523,Mountwest Community and Technical College,Huntington,WV,mctc.edu,2,2,1,,0.0,13322.0,,4692.0,11688.0,0.54,2,,990.0,7600.0,
4524,American InterContinental University,Chandler,AZ,aiuniv.edu,3,4,3,,1.0,19159.0,,12418.0,12418.0,,1,,11094.0,,13722.0
4525,Toyota Technological Institute at Chicago,Chicago,IL,ttic.edu,4,4,2,,0.0,,,,,,1,,,,
4526,American InterContinental University-Houston,Houston,TX,aiuniv.edu/online-campus/campus-locations/houston,3,4,3,,0.0,22689.0,,14910.0,14910.0,,1,,149.0,,16149.0
4527,University of California-Merced,Merced,CA,ucmerced.edu,3,4,1,0.866,0.0,30144.0,,13657.0,43411.0,0.9318,1,17800000.0,8321.0,10751.0,
4528,Remington College-North Houston Campus,Houston,TX,remingtoncollege.edu/locations/houston/greenspoint,1,3,2,,0.0,29203.0,,18701.0,18701.0,,1,,223.0,,24322.0
4529,Paul Mitchell the School-Orlando,Oviedo,FL,paulmitchell.edu/orlando,1,1,3,,0.0,,23155.0,,,,3,,225.0,,20109.0
4530,Pima Medical Institute-Las Vegas,Las Vegas,NV,pmi.edu,1,2,3,,0.0,,24354.0,,,0.5574,2,,786.0,,20358.0
4531,Remington College-Nashville Campus,Nashville,TN,remingtoncollege.edu/locations/nashville,1,2,2,,0.0,28681.0,,17189.0,17189.0,,2,,272.0,,23812.0
4532,Central Methodist University-College of Graduate and Extended Studies,Fayette,MO,centralmethodist.edu,3,4,2,1.0,0.0,22070.0,,6720.0,6720.0,1.0,1,13038161.0,1502.0,,17143.0
4533,North-West College-Riverside,Riverside,CA,north-westcollege.edu,1,1,3,,0.0,,31219.0,,,,2,,361.0,,28978.0
4534,Altierus Career College-Bissonnet,Houston,TX,altierus.edu,1,1,2,,0.0,26475.0,,15594.0,15594.0,1.0,2,,746.0,,21280.0
4535,Colegio Tecnico de Electricidad Galloza,Aguada,PR,ctegpr.com,1,1,3,,0.0,,11113.0,,,,3,,8.0,,7844.0
4536,Arthur's Beauty College,Conway,AR,arthursbeautycollege.com,1,1,3,,0.0,,16339.0,,,,3,,66.0,,12281.0
4537,Spa Tech Institute-Westboro,Westborough,MA,spatech.edu,1,1,3,,0.0,,19283.0,,,,3,,167.0,,17258.0
4538,Spa Tech Institute-Plymouth,Plymouth,MA,spatech.edu,1,1,3,,0.0,,20512.0,,,,3,,175.0,,17674.0
4539,Neumont College of Computer Science,Salt Lake City,UT,neumont.edu,3,3,3,0.9054,0.0,37916.0,,25995.0,25995.0,0.44,1,,517.0,,28199.0
4540,Johnson & Wales University-Charlotte,Charlotte,NC,jwu.edu/campuses/charlotte,3,3,2,0.8234,0.0,51561.0,,36274.0,36274.0,1.0,1,6886458.0,1262.0,,27013.0
4541,Roseman University of Health Sciences,Henderson,NV,roseman.edu,3,4,2,,0.0,,,,,0.5415,1,40802769.0,559.0,,
4542,Fortis Institute-Port Saint Lucie,Port Saint Lucie,FL,fortis.edu,1,2,3,,0.0,30399.0,,14470.0,14470.0,0.3571,2,,481.0,,25707.0
4543,Aviation Institute of Maintenance-Manassas,Manassas,VA,aviationmaintenance.edu/campuses/nova,1,1,3,,0.0,31607.0,,16757.0,16757.0,,2,,244.0,,26850.0
4544,Cosmetology School of Arts & Sciences,Burley,ID,cosmetologyschoolof-art.com,1,1,3,,0.0,,22219.0,,,,3,,30.0,,17569.0
4545,Universal Technical Institute of Pennsylvania Inc,Exton,PA,uti.edu,1,1,3,,0.0,,25684.0,,,,2,,1031.0,,19682.0
4546,Kenneth Shuler School of Cosmetology-Spartanburg,Spartanburg,SC,kennethshuler.com,1,1,3,,0.0,,15587.0,,,,3,,141.0,,12874.0
4547,Kenneth Shuler School of Cosmetology-Columbia,Columbia,SC,kennethshuler.com,1,1,3,,0.0,,16688.0,,,,3,,145.0,,14357.0
4548,Divine Mercy University,Sterling,VA,divinemercy.edu,4,4,2,,0.0,,,,,0.9333,1,138607.0,,,
4549,Lincoln Technical Institute-Shelton,Shelton,CT,lincolntech.edu/campus/shelton-ct,1,1,3,,0.0,,35814.0,,,,3,,831.0,,31803.0
4550,Northwest Career College,Las Vegas,NV,northwestcareercollege.edu,1,2,3,,0.0,,21402.0,,,0.8438,2,,1576.0,,14142.0
4551,Soma Institute-The National School of Clinical Massage Therapy,Chicago,IL,soma.edu,1,1,3,,0.0,,,,,,3,,319.0,,
4552,American Academy of Health and Wellness,Roseville,MN,acupunctureschoolusa.com,4,4,3,,0.0,,,,,,1,,,,
4553,Arizona School of Acupuncture and Oriental Medicine,Tucson,AZ,asaom.edu,4,4,3,,0.0,,,,,,1,,,,
4554,Ave Maria University,Ave Maria,FL,avemaria.edu,3,4,2,0.6405,0.0,39343.0,,24610.0,24610.0,1.0,1,6523539.0,1240.0,,18860.0
4555,CALC Institute of Technology,Alton,IL,calc.edu,1,1,3,,0.0,,,,,,3,,82.0,,
4556,Sutter County Career Training Center,Yuba City,CA,cambridge.edu,1,1,3,,0.0,,28410.0,,,,3,,104.0,,22552.0
4557,Cambridge College of Healthcare & Technology,Altamonte Springs,FL,cambridgehealth.edu,1,2,3,,0.0,23949.0,,15330.0,15330.0,,2,,323.0,,18376.0
4558,Career Care Institute,Lancaster,CA,ccicolleges.edu,1,2,3,,0.0,,39689.0,,,0.5517,2,,582.0,,36114.0
4559,ATA Career Education,Spring Hill,FL,atafl.edu,1,2,3,,0.0,28558.0,,13480.0,13480.0,0.1724,2,,200.0,,24357.0
4560,Community Christian College,Redlands,CA,cccollege.edu,2,2,2,,0.0,14733.0,,9750.0,9750.0,1.0,2,,483.0,,13663.0
4561,Culpeper Cosmetology Training Center,Culpeper,VA,culpepercosmetology.com,1,1,1,,0.0,,18122.0,,,,3,,25.0,12078.0,
4562,Eastern School of Acupuncture and Traditional Medicine,Bloomfield,NJ,esatm.edu,1,4,3,,0.0,,,,,,1,,12.0,,
4563,Ecclesia College,Springdale,AR,ecollege.edu,3,3,2,0.6735,0.0,28210.0,,15950.0,15950.0,0.25,1,,144.0,,17209.0
4564,Employment Solutions-College for Technical Education,Lexington,KY,cte.edu,1,1,2,,0.0,,17246.0,,,,3,,117.0,,11440.0
4565,Estelle Medical Academy,Skokie,IL,school-for-massage.com,1,1,3,,0.0,11800.0,,9180.0,9180.0,,3,,104.0,,9832.0
4566,Evergreen Beauty and Barber College-Everett,Everett,WA,evergreenbeauty.edu,1,1,3,,0.0,,19174.0,,,,3,,765.0,,16237.0
4567,Paul Mitchell the School-Great Lakes,Port Huron,MI,paulmitchell.edu/porthuron,1,1,3,,0.0,,23450.0,,,,3,,75.0,,21824.0
4568,Healthcare Training Institute,Union,NJ,htinj.edu,1,1,3,1.0,0.0,,17376.0,,,,2,,45.0,,6284.0
4569,John D Rockefeller IV Career Center,New Cumberland,WV,jdrcc.org,1,1,1,,0.0,14173.0,,8046.0,8046.0,,3,,25.0,11793.0,
4570,Los Angeles College of Music,Pasadena,CA,lacm.edu,3,3,3,0.8299,0.0,46058.0,,25650.0,25650.0,0.098,1,,251.0,,36016.0
4571,Maple Springs Baptist Bible College and Seminary,Capitol Heights,MD,msbbcs.edu,1,1,2,1.0,0.0,,,5400.0,5400.0,,1,,20.0,,
4572,Precision Manufacturing Institute,Meadville,PA,gopmi.org,1,1,2,,0.0,24382.0,,18340.0,18340.0,,3,,25.0,,19500.0
4573,Rosslyn Training Academy of Cosmetology,Aguada,PR,rosslyntraining.edu,1,1,3,,0.0,7457.0,,6597.0,6597.0,,3,,4.0,,3779.0
4574,SAE Institute of Technology-Nashville,Nashville,TN,usa.sae.edu,2,3,3,,0.0,38320.0,,33199.0,33199.0,,1,,271.0,,27037.0
4575,Southern Technical College,Orlando,FL,southerntech.edu,1,2,3,,0.0,,24626.0,,,1.0,2,,1568.0,,19626.0
4576,Stanbridge University,Irvine,CA,stanbridge.edu,2,4,3,0.105,0.0,,41347.0,,,0.3005,1,,1710.0,,38760.0
4577,Universal Career School,Sweetwater,FL,ucs.edu,2,2,3,,0.0,,30950.0,,,1.0,2,,402.0,,25177.0
4578,Universal College of Healing Arts,Omaha,NE,ucha.edu,1,2,3,,0.0,24015.0,,11822.0,11822.0,,2,,14.0,,22144.0
4579,Uta Mesivta of Kiryas Joel,Monroe,NY,utam.edu,3,3,2,,0.0,20943.0,,14500.0,14500.0,1.0,1,,2399.0,,10580.0
4580,Harrisburg University of Science and Technology,Harrisburg,PA,harrisburgu.edu,3,4,2,,0.0,31997.0,,23900.0,23900.0,0.4508,1,1016461.0,631.0,,12295.0
4581,Blue Ridge Community and Technical College,Martinsburg,WV,blueridgectc.edu,2,2,1,,0.0,10615.0,,4128.0,7464.0,0.4834,2,581530.0,1489.0,5142.0,
4582,Daytona College,Ormond Beach,FL,daytonacollege.edu,1,2,3,,0.0,,26817.0,,,0.2564,1,,175.0,,22379.0
4583,Delta Technical College-Mississippi,Horn Lake,MS,deltatechnicalcollege.com,1,1,3,,0.0,,31375.0,,,,3,,1637.0,,25303.0
4584,United States University,San Diego,CA,usuniversity.edu,3,4,3,,0.0,16654.0,,6480.0,6480.0,1.0,1,,175.0,,13529.0
4585,Empire Beauty School-Avondale,Avondale,AZ,empire.edu,1,1,3,,0.0,,18798.0,,,,3,,170.0,,14426.0
4586,Empire Beauty School-Littleton,Littleton,CO,empire.edu,1,1,3,,0.0,,21708.0,,,,3,,56.0,,17086.0
4587,Empire Beauty School-Aurora,Aurora,CO,empire.edu,1,1,3,,0.0,,21574.0,,,,3,,64.0,,16939.0
4588,Joyce University of Nursing and Health Sciences,Draper,UT,joyce.edu,2,3,3,0.8629,0.0,31479.0,,12068.0,12068.0,0.3737,1,,1996.0,,28263.0
4589,San Joaquin Valley College-Modesto,Salida,CA,sjvc.edu,1,2,3,,0.0,,24927.0,,,0.4167,2,,493.0,,20345.0
4590,Eagle Gate College-Layton,Layton,UT,eaglegatecollege.edu,3,3,3,,0.0,30590.0,,17112.0,17112.0,,1,,230.0,,24833.0
4591,Academy of Hair Design-Jasper,Jasper,TX,lufkinhairdesign.com,1,1,3,,0.0,,17457.0,,,,3,,46.0,,11771.0
4592,SAE Expression College,Emeryville,CA,usa.sae.edu/campuses/emeryville,3,3,3,,0.0,28509.0,,23599.0,23599.0,,1,,253.0,,18401.0
4593,Unitech Training Academy-West Monroe,West Monroe,LA,unitechta.edu,1,1,3,,0.0,,28147.0,,,,3,,70.0,,23507.0
4594,New River Community and Technical College,Beaver,WV,newriver.edu,1,2,1,,0.0,10124.0,,4590.0,7246.0,0.5484,2,2199704.0,773.0,4152.0,
4595,The College of Health Care Professions-Southwest Houston,Houston,TX,chcp.edu,1,2,3,,0.0,,32912.0,,,0.9032,2,,651.0,,28735.0
4596,UEI College-Chula Vista,Chula Vista,CA,uei.edu,1,1,3,,0.0,,31706.0,,,,3,,1514.0,,27426.0
4597,UEI College-West Covina,West Covina,CA,uei.edu,1,1,3,,0.0,,30813.0,,,,3,,1182.0,,26964.0
4598,Georgia Gwinnett College,Lawrenceville,GA,ggc.edu,3,3,1,0.9303,0.0,17382.0,,4948.0,13734.0,0.8007,1,,10377.0,11400.0,
4599,Phoenix Institute of Herbal Medicine & Acupuncture,Phoenix,AZ,pihma.edu,4,4,3,,0.0,,,,,0.1143,1,,,,
4600,Tucson College of Beauty,Tucson,AZ,tucsoncollegeofbeauty.com,1,1,3,,0.0,,20665.0,,,,3,,139.0,,17758.0
4601,California Career College,Canoga Park,CA,californiacareercollege.edu,2,2,3,,0.0,,,,,,2,,208.0,,
4602,Palladium Technical Academy Inc,Temple City,CA,palladium.edu,1,1,3,,0.0,,23587.0,,,,3,,30.0,,17542.0
4603,Los Angeles College of Aesthetics,Los Angeles,CA,palacebeautycollege.com,1,1,3,,0.0,,20132.0,,,,3,,165.0,,16253.0
4604,National Polytechnic College,Lakewood,CA,npcollege.edu,1,2,3,,0.0,,29619.0,,,0.2857,2,,198.0,,24842.0
4605,American Career College-Ontario,Ontario,CA,new.americancareercollege.edu,1,2,3,,0.0,,33102.0,,,,2,,1526.0,,29050.0
4606,Asher College,Sacramento,CA,asher.edu,2,2,3,,0.0,,27381.0,,,,2,,843.0,,14636.0
4607,American Institute of Massage Therapy,Santa Ana,CA,aimtinc.com,1,1,3,,0.0,,20190.0,,,,3,,42.0,,16973.0
4608,University of East-West Medicine,Sunnyvale,CA,uewm.edu,4,4,3,,0.0,,,,,,1,,,,
4609,Blake Austin College,Vacaville,CA,blakeaustincollege.edu,1,1,3,,0.0,,27551.0,,,,3,,219.0,,22622.0
4610,Aviator College of Aeronautical Science and Technology,Fort Pierce,FL,aviator.edu,1,2,3,,0.0,41137.0,,29450.0,29450.0,1.0,2,,128.0,,37792.0
4611,Trendsetters School of Beauty & Barbering,Jacksonville,FL,trendsettersjax.com,1,1,3,,0.0,,23205.0,,,,3,,8.0,,16859.0
4612,CDA Technical Institute,Jacksonville,FL,cda.edu,1,1,3,,0.0,,39824.0,,,,3,,213.0,,37957.0
4613,American Institute of Beauty,Largo,FL,aibschool.edu,1,1,3,,0.0,,13958.0,,,,3,,166.0,,10573.0
4614,North Florida Cosmetology Institute,Tallahassee,FL,cosmetologyinst.com,1,1,3,,0.0,,18030.0,,,,3,,127.0,,13011.0
4615,Florida Academy of Health & Beauty,Oakland Park,FL,flacademyofbeauty.edu,1,1,3,,0.0,,12661.0,,,,3,,66.0,,6316.0
4616,Augusta School of Massage,Evans,GA,augustamassage.com,1,1,3,,0.0,,12013.0,,,,3,,50.0,,8319.0
4617,ATA College,Louisville,KY,ata.edu,2,2,3,,0.0,29302.0,,13120.0,13120.0,0.175,2,,286.0,,24879.0
4618,SUM Bible College and Theological Seminary,El Dorado Hills,CA,sum.edu,3,4,2,1.0,0.0,21403.0,,10540.0,10540.0,0.1408,1,130900.0,416.0,,16440.0
4619,Compass Career College,Hammond,LA,compasscareercollege.net,1,1,3,,0.0,,19769.0,,,,3,,163.0,,17276.0
4620,Hair Expressions Academy,Rockville,MD,paulmitchell.edu/rockville,1,1,3,,0.0,,19565.0,,,,3,,29.0,,15203.0
4621,Nuvo College of Cosmetology,Norton Shores,MI,tcbeautycollege.com,1,1,3,,0.0,,16466.0,,,,3,,96.0,,14544.0
4622,WellSpring School of Allied Health-Kansas City,Kansas City,MO,wellspring.edu,1,2,3,,0.0,,27736.0,,,,2,,181.0,,22502.0
4623,The Salon Professional Academy-Fargo,Fargo,ND,tspafargo.com,1,1,3,,0.0,,18412.0,,,,2,,128.0,,14962.0
4624,Institute of Professional Careers,Las Vegas,NV,dentalassistanttraininginlasvegasnv.com,1,1,3,,0.0,,,,,,3,,0.0,,
4625,Aveda Arts & Sciences Institute-New York,New York,NY,avedaarts.edu,1,1,3,,0.0,,30829.0,,,,3,,333.0,,25891.0
4626,MyrAngel Beauty Institute,San Lorenzo,PR,myrangelbeautyinstitute.com,1,1,3,,0.0,,12567.0,,,,3,,208.0,,7897.0
4627,Texas Health School,Houston,TX,ths.edu,1,1,3,,0.0,,34033.0,,,,3,,102.0,,29094.0
4628,Paul Mitchell the School-Logan,Logan,UT,paulmitchell.edu/logan,1,1,3,,0.0,,17814.0,,,,3,,152.0,,14710.0
4629,Careers Unlimited,Orem,UT,ucdh.edu,3,3,3,,0.0,,,,,,1,,117.0,,
4630,Mountainland Technical College,Lehi,UT,mtec.edu,1,1,1,,0.0,,,,,,3,,2481.0,,
4631,Avi Career Training,Great Falls,VA,avicareertraining.com,1,1,3,,0.0,,18462.0,,,,3,,17.0,,14232.0
4632,Mountain State School of Massage,Charleston,WV,mtnstmassage.com,1,1,3,,0.0,,23755.0,,,,3,,24.0,,19057.0
4633,Eastern International College-Belleville,Belleville,NJ,eicollege.edu,2,3,3,,0.0,32540.0,,17785.0,17785.0,0.3929,1,,220.0,,23984.0
4634,San Joaquin Valley College-Rancho Cordova,Rancho Cordova,CA,sjvc.edu,2,2,3,,0.0,,28639.0,,,,2,,196.0,,25866.0
4635,Broken Arrow Beauty College,Tulsa,OK,babeautycollege.com,1,1,3,,0.0,,16506.0,,,,3,,71.0,,11042.0
4636,Universal Technical Institute of Northern California Inc,Sacramento,CA,uti.edu,2,2,3,,0.0,,28878.0,,,,2,,1232.0,,24377.0
4637,West Hills College-Lemoore,Lemoore,CA,westhillscollege.com/lemoore,2,2,1,,0.0,18096.0,,1380.0,10590.0,0.2611,2,,2796.0,10669.0,
4638,Stautzenberger College-Brecksville,Brecksville,OH,sctoday.edu,2,2,3,,0.0,26791.0,,16699.0,16699.0,0.4815,2,,257.0,,22895.0
4639,Stone Academy-East Hartford,East Hartford,CT,stone.edu,1,1,3,,0.0,,23483.0,,,,2,,654.0,,18018.0
4640,Unitech Training Academy-Houma,Houma,LA,unitechta.edu,1,1,3,,0.0,,24094.0,,,,3,,34.0,,20073.0
4641,Rasmussen University-Illinois,Rockford,IL,rasmussen.edu,2,4,3,,0.0,24205.0,,11743.0,11743.0,0.254,1,,2495.0,,18181.0
4642,International Institute for Restorative Practices,Bethlehem,PA,iirp.edu,4,4,2,,1.0,,,,,0.8571,1,55687.0,,,
4643,Automotive Training Center-Warminster,Warminster,PA,autotraining.edu,1,1,3,,0.0,,21067.0,,,,2,,284.0,,14567.0
4644,Empire Beauty School-Milwaukee,Milwaukee,WI,empire.edu,1,1,3,,0.0,,20510.0,,,,3,,150.0,,15933.0
4645,Triangle Tech Inc-Bethlehem,Bethlehem,PA,triangle-tech.edu,2,2,3,,0.0,26508.0,,18500.0,18500.0,1.0,2,,154.0,,21163.0
4646,Milan Institute-Clovis,Clovis,CA,milaninstitute.edu,1,1,3,,0.0,,24039.0,,,,3,,526.0,,20956.0
4647,Strayer University-Florida,Tampa,FL,strayer.edu/campus-locations/florida/tampa-east,3,4,3,,0.0,25041.0,,13515.0,13515.0,0.16,1,,1276.0,,17403.0
4648,Pima Medical Institute-Renton,Renton,WA,pmi.edu,1,2,3,,0.0,,33834.0,,,0.5111,2,,576.0,,30558.0
4649,CBT Technology Institute-Main Campus,Miami,FL,cbt.edu,1,2,3,,0.0,18866.0,,13152.0,13152.0,,2,,123.0,,11894.0
4650,CBT Technology Institute-Hialeah,Hialeah,FL,cbt.edu,1,2,3,,0.0,17550.0,,13152.0,13152.0,,2,,133.0,,11297.0
4651,Dewey University-Juana Diaz,Juana Diaz,PR,dewey.edu,1,4,2,,0.0,10720.0,,7495.0,7495.0,1.0,1,,206.0,,4532.0
4652,The College of Health Care Professions-San Antonio,San Antonio,TX,chcp.edu,1,2,3,,0.0,,36085.0,,,0.8286,2,,688.0,,32179.0
4653,Brittany Beauty Academy,Bronx,NY,brittanyacademy.edu,1,1,3,,0.0,,22772.0,,,,3,,182.0,,19012.0
4654,Lincoln Technical Institute-Whitestone,Whitestone,NY,lincolntech.edu/campus/queens-ny,1,1,3,,0.0,,36766.0,,,,3,,673.0,,31981.0
4655,American Public University System,Charles Town,WV,apus.edu,3,4,3,,1.0,16874.0,,7360.0,7360.0,0.1898,1,,37245.0,,11144.0
4656,Huntsville Bible College,Huntsville,AL,huntsvillebiblecollege.org,3,4,2,,0.0,,,4730.0,4730.0,,1,,79.0,,
4657,Beaumont Adult School,Beaumont,CA,bas.beaumontusd.us,1,1,1,,0.0,,32884.0,,,,3,,62.0,22699.0,
4658,Make-up Designory,Burbank,CA,mud.edu/locations/los-angeles,0,0,3,,0.0,,,,,,3,,,,
4659,Gnomon,Hollywood,CA,gnomon.edu,1,3,3,0.4483,0.0,53847.0,,28155.0,28155.0,0.0,1,,272.0,,47099.0
4660,Coachella Valley Beauty College,La Quinta,CA,cvbeautycollege.com,1,1,3,,0.0,,14093.0,,,,3,,85.0,,8112.0
4661,Valley College of Medical Careers,West Hills,CA,valleycollegeofmedicalcareers.info,1,2,3,,0.0,,30108.0,,,,2,,121.0,,24535.0
4662,Academy of Natural Therapy Inc,Greeley,CO,natural-therapy.com,1,1,3,,0.0,,,,,,3,,44.0,,
4663,Academy Di Capelli-School of Cosmetology,Wallingford,CT,academydicapelli.com,1,1,3,,0.0,,16279.0,,,,3,,157.0,,13040.0
4664,Delaware Learning Institute of Cosmetology,Dagsboro,DE,delawarecosmetology.com,1,1,3,,0.0,,24935.0,,,,3,,66.0,,18791.0
4665,Dragon Rises College of Oriental Medicine,Gainesville,FL,dragonrises.edu,4,4,2,,0.0,,,,,,1,,,,
4666,Palm Beach Academy of Health & Beauty,Lake Park,FL,pbacademy.net,1,1,3,,0.0,,29168.0,,,,3,,164.0,,26758.0
4667,SABER College,Miami,FL,sabercollege.edu,2,2,2,0.9535,0.0,,,,,0.7692,2,,63.0,,
4668,Taylor College,Belleview,FL,taylorcollege.edu,2,2,3,,0.0,32050.0,,12117.0,12117.0,0.5238,2,,298.0,,25935.0
4669,Pensacola School of Massage Therapy & Health Careers,Pensacola,FL,psmthc.com,1,1,3,,0.0,,21733.0,,,,3,,83.0,,17547.0
4670,Ideal Beauty Academy,Jeffersonville,IN,idealbeautyacademy.net,1,1,3,,0.0,,,,,,3,,4.0,,
4671,Denmark College,Merrillville,IN,successbarberschool.com,1,1,3,,0.0,,18973.0,,,,3,,191.0,,14270.0
4672,Louisiana Culinary Institute,Baton Rouge,LA,lci.edu,2,2,3,0.6271,0.0,27651.0,,14575.0,14575.0,,2,,93.0,,23907.0
4673,Bais Medrash Toras Chesed,Lakewood,NJ,bmtc.edu,3,3,2,0.5882,0.0,12500.0,,7200.0,7200.0,,1,,117.0,,469.0
4674,Ace Institute of Technology,New York,NY,acecareer.edu,1,1,3,,0.0,,37232.0,,,,2,,273.0,,31860.0
4675,New Age Training,New York,NY,newagetraining.com,1,1,3,,0.0,,25510.0,,,,3,,230.0,,21077.0
4676,Dayton School of Medical Massage,Dayton,OH,massageschools.com,1,1,3,,0.0,31998.0,,17670.0,17670.0,,3,,382.0,,28474.0
4677,Northcoast Medical Training Academy,Kent,OH,northcoastmedicalacademy.com,1,1,3,,0.0,,27980.0,,,,3,,45.0,,22265.0
4678,ATA College,Tulsa,OK,ata.edu/campus/tulsa-ok,1,1,3,,0.0,25478.0,,13120.0,13120.0,0.4615,2,,160.0,,22340.0
4679,Visible Music College,Memphis,TN,visible.edu,1,4,2,0.3663,0.0,31264.0,,20000.0,20000.0,0.303,1,220967.0,171.0,,25137.0
4680,CCI Training Center-Arlington,Arlington,TX,ccitraining.edu,1,1,3,,0.0,,18755.0,,,,3,,180.0,,14562.0
4681,Champion Beauty College,Houston,TX,championbeautycollege.com,1,1,3,,0.0,,18806.0,,,,3,,21.0,,15803.0
4682,Southeast Texas Career Institute,Silsbee,TX,setxci.com,1,1,3,,0.0,,22345.0,,,,3,,70.0,,18295.0
4683,Southwest Technical College,Cedar City,UT,stech.edu,1,1,1,,0.0,,,,,,3,,321.0,,
4684,Virginia Beach Theological Seminary,Virginia Beach,VA,vbts.edu,4,4,2,,0.0,,,,,,1,785976.0,1.0,,
4685,Milwaukee Career College,Milwaukee,WI,mkecc.edu,1,2,3,0.744,0.0,,26905.0,,,0.6154,2,,172.0,,24002.0
4686,University of the West,Rosemead,CA,uwest.edu,3,4,2,,0.0,19200.0,,13604.0,13604.0,0.2679,1,14872123.0,77.0,,13225.0
4687,American College of Education,Indianapolis,IN,ace.edu,1,4,3,,1.0,,,,,0.3309,1,,73.0,,
