,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
86,Dine College,Tsaile,AZ,dinecollege.edu,2,3,1,,0.0,14140.0,,1410.0,1410.0,0.75,1,8401082.0,1224.0,10923.0,
87,Northern Arizona University,Flagstaff,AZ,nau.edu,3,4,1,0.7835,0.0,28480.0,,11896.0,26642.0,0.6536,1,203671000.0,23772.0,14636.0,
88,Northland Pioneer College,Holbrook,AZ,npc.edu,1,2,1,,0.0,14079.0,,2428.0,9850.0,0.436,2,12414.0,1124.0,6123.0,
89,Ottawa University-Phoenix,Phoenix,AZ,ottawa.edu,3,4,2,,0.0,,,,,,1,3308679.0,348.0,,
90,Phoenix College,Phoenix,AZ,phoenixcollege.edu,1,2,1,,0.0,15974.0,,2070.0,7854.0,1.0,2,,6674.0,10118.0,
91,Pima Community College,Tucson,AZ,pima.edu,1,2,1,,0.0,8648.0,,2250.0,7566.0,0.278,2,5549611.0,13128.0,3409.0,
92,Pima Medical Institute-Tucson,Tucson,AZ,pmi.edu,1,3,3,,0.0,,,,,0.2845,1,,2485.0,,
93,Pima Medical Institute-Albuquerque,Albuquerque,NM,pmi.edu,1,2,3,,0.0,,26493.0,,,0.4891,2,,782.0,,21149.0
94,Prescott College,Prescott,AZ,prescott.edu,3,4,2,0.9932,0.0,44892.0,,34701.0,34701.0,0.359,1,2243628.0,383.0,,14226.0
95,Refrigeration School Inc,Phoenix,AZ,rsi.edu,1,2,3,,0.0,,26915.0,,,0.9,2,,1007.0,,21297.0
96,Rio Salado College,Tempe,AZ,rio.maricopa.edu,1,2,1,,0.0,14123.0,,2070.0,7854.0,1.0,2,,3824.0,9226.0,
97,Roberto-Venn School of Luthiery,Phoenix,AZ,roberto-venn.com,1,1,3,,0.0,,25655.0,,,,3,,12.0,,23078.0
98,Scottsdale Community College,Scottsdale,AZ,scottsdalecc.edu,2,2,1,,0.0,16557.0,,2070.0,7854.0,1.0,2,,4764.0,11286.0,
99,South Mountain Community College,Phoenix,AZ,southmountaincc.edu,1,2,1,,0.0,15440.0,,2070.0,7854.0,1.0,2,,2395.0,10040.0,
100,Arizona Christian University,Glendale,AZ,arizonachristian.edu,3,3,2,0.7594,0.0,47850.0,,30624.0,30624.0,0.3222,1,251427.0,1012.0,,31546.0
101,Universal Technical Institute of Arizona Inc,Avondale,AZ,uti.edu,2,2,3,,0.0,,28767.0,,,,2,,1995.0,,24917.0
102,Yavapai College,Prescott,AZ,yc.edu,1,2,1,,0.0,12567.0,,2600.0,9332.0,0.2906,2,14934669.0,4004.0,7144.0,
103,University of Arkansas at Little Rock,Little Rock,AR,ualr.edu/www,3,4,1,0.5769,0.0,20260.0,,8366.0,18957.0,1.0,1,137934462.0,5025.0,15868.0,
104,University of Arkansas for Medical Sciences,Little Rock,AR,uams.edu,3,4,1,,0.0,,,,,0.8949,1,334680000.0,1072.0,,
105,Arkansas Baptist College,Little Rock,AR,arkansasbaptist.edu,3,3,2,,0.0,22127.0,,8760.0,8760.0,0.5143,1,,414.0,,12951.0
106,Arkansas Beauty School-Little Rock,Little Rock,AR,arbs.edu,1,1,3,,0.0,,24926.0,,,,3,,28.0,,22946.0
107,Arkansas Beauty College,Russellville,AR,arkansasbeautycollege.us,1,1,3,,0.0,,14115.0,,,,3,,33.0,,10913.0
108,Lyon College,Batesville,AR,lyon.edu,3,3,2,0.2721,0.0,33415.0,,30414.0,30414.0,0.8596,1,97668919.0,576.0,,10786.0
109,Arkansas Technical School,North Little Rock,AR,arktech.edu,1,1,3,,0.0,,26762.0,,,,3,,62.0,,20417.0
110,Arthur's Beauty College,Fort Smith,AR,arthursbeautycollege.com,1,1,3,,0.0,,16565.0,,,,3,,25.0,,10138.0
